source_id,repo,branch,path,dashboard_tab,source_kind,url,local_path,status,error,bytes,sha256,etag,last_modified
INFERENCEX_BENCHMARK_README,SemiAnalysisAI/InferenceX,main,README.md,methodology,benchmark_repo_readme,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX/main/README.md,data/inferencex/raw/INFERENCEX_BENCHMARK_README_README.md,downloaded,,5539,2fb50883f211ec2784d6420a3cf9f61bb61691879d1c8b2697b89a3661e626c9,"""0509884f3bcf5817f68cebdf5241a36a4c32913dbd62a334c8e49f53747aee74""",
INFERENCEX_BENCHMARK_AGENTS,SemiAnalysisAI/InferenceX,main,AGENTS.md,methodology,benchmark_repo_operating_rules,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX/main/AGENTS.md,data/inferencex/raw/INFERENCEX_BENCHMARK_AGENTS_AGENTS.md,downloaded,,10887,18208965d4cbf340a1f1b8319c539f32eb23047d439e1b825386825e5a24cbec,"""573a39f0eedc41a21fe3af2b750a5cdc376206b76255735c55525a18352a069c""",
INFERENCEX_PERF_CHANGELOG,SemiAnalysisAI/InferenceX,main,perf-changelog.yaml,historical_trends,benchmark_changelog,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX/main/perf-changelog.yaml,data/inferencex/raw/INFERENCEX_PERF_CHANGELOG_perf-changelog.yaml,downloaded,,129179,cb4bf89030692614768c680c4f56224299060ee6772465c5f4b792e0a7fb3454,"""af5ab697c61abe160da328d56997b3f7cf148bb779faa5d0750b53fc4d93debe""",
INFERENCEX_APP_README,SemiAnalysisAI/InferenceX-app,master,README.md,data_pipeline,dashboard_app_readme,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX-app/master/README.md,data/inferencex/raw/INFERENCEX_APP_README_README.md,downloaded,,6572,7bc3f9200346567d1ed501459ba2565ea276b1b66e7f03b2f49d9a1214fd3181,"""ae66bab6500169958160e8b7a022c0c41725fa1d8107c52389018662aca5cff2""",
INFERENCEX_APP_ENV_EXAMPLE,SemiAnalysisAI/InferenceX-app,master,.env.example,data_pipeline,dashboard_app_config,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX-app/master/.env.example,data/inferencex/raw/INFERENCEX_APP_ENV_EXAMPLE_.env.example,downloaded,,3405,df9a719f82f81894b59185ff56da21da4896bf2bbc5e56149f2ce6bcb6d82027,"""6caf5c9c7304037525e9f1388cddbb2ceb7acb620b5b6bf10d798f23815bd1df""",
INFERENCEX_APP_PACKAGE,SemiAnalysisAI/InferenceX-app,master,package.json,data_pipeline,dashboard_app_scripts,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX-app/master/package.json,data/inferencex/raw/INFERENCEX_APP_PACKAGE_package.json,downloaded,,2316,dc5c1bd20869e8bfa512c6553808e3a008bcad2683093d2d73c8730e58153830,"""88da79f8917dcbbf5757990322b33de691ac1a0d79795dcaa3edd570210f5155""",
INFERENCEX_APP_DATA_PIPELINE_DOC,SemiAnalysisAI/InferenceX-app,master,docs/data-pipeline.md,data_pipeline,dashboard_app_doc,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX-app/master/docs/data-pipeline.md,data/inferencex/raw/INFERENCEX_APP_DATA_PIPELINE_DOC_data-pipeline.md,downloaded,,9935,eb1fc7e8deb2a8fdcc18c24c43d88b55dfd738d049e9f8a47611d168e0a4b327,"""9a1fd8260f3e719cd3e138d9ba3a28f466bec5188a50faaaa254642e0e1aa5b2""",
INFERENCEX_APP_TRANSFORMS_DOC,SemiAnalysisAI/InferenceX-app,master,docs/data-transforms.md,data_pipeline,dashboard_app_doc,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX-app/master/docs/data-transforms.md,data/inferencex/raw/INFERENCEX_APP_TRANSFORMS_DOC_data-transforms.md,downloaded,,10916,d5a6fd9477ac4559b3726dd441dcbfd2fa1db77096661044c17144e8142362e2,"""8cfcd297a57d09f23ad6b2c2e4d97b3b10efe375ff8810e299a6ac6c87f4f225""",
INFERENCEX_APP_GPU_SPECS_DOC,SemiAnalysisAI/InferenceX-app,master,docs/gpu-specs.md,gpu_specs,dashboard_app_doc,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX-app/master/docs/gpu-specs.md,data/inferencex/raw/INFERENCEX_APP_GPU_SPECS_DOC_gpu-specs.md,downloaded,,5246,544d7cda51ca0840d090cb08882506f247c8107b83b13bc334f611f283b8af0a,"""61fb4db170b77ae5a17c4662b7347c09964da04dd90655111167cad1c101c84f""",
INFERENCEX_APP_TCO_DOC,SemiAnalysisAI/InferenceX-app,master,docs/tco-calculator.md,tco_calculator,dashboard_app_doc,https://raw.githubusercontent.com/SemiAnalysisAI/InferenceX-app/master/docs/tco-calculator.md,data/inferencex/raw/INFERENCEX_APP_TCO_DOC_tco-calculator.md,downloaded,,4140,373f0e83dda4c95e0e5c4f24168916f18a65db0e81f185238cdf1f712ef8a693,"""9efe4c2882838696598023dae7a4b98de024c98e0f45a3a89b2cbabac17b614d""",
