analysis_layer,source_section,target_section,source_metric,source_transform,target_metric,target_transform,target_transform_col,best_lag_quarters,timing,best_corr,best_observations,best_r_squared,best_abs_lag_quarters,best_abs_corr,status,signal_class,map_eligible,interpretation
Procurement spend -> Supplier revenue,CPU,components,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.9999928156713329,28,0.9999856313942804,1,0.9999928156713329,ok,strong,True,"source leads; best positive lag +1Q, corr 1.00, n=28. Strongest absolute relation is lag +1Q, corr 1.00."
Procurement spend -> Supplier revenue,components,Server Networking,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.9999816080114227,30,0.9999632163611105,2,0.9999816080114227,ok,strong,True,"source leads; best positive lag +2Q, corr 1.00, n=30. Strongest absolute relation is lag +2Q, corr 1.00."
Procurement spend -> Supplier revenue,CPU,Server Networking,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,3,source leads,0.999972410101723,28,0.9999448209646484,3,0.999972410101723,ok,strong,True,"source leads; best positive lag +3Q, corr 1.00, n=28. Strongest absolute relation is lag +3Q, corr 1.00."
Procurement spend -> Supplier revenue,components,Cooling,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9996173846564316,30,0.9992349157073643,0,0.9996173846564316,ok,strong,True,"synchronous; best positive lag +0Q, corr 1.00, n=30. Strongest absolute relation is lag +0Q, corr 1.00."
Capex spend -> Supplier revenue,Server Networking,AI Chip,Capex investment,capex_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9993041950370645,17,0.9986088742186754,0,0.9993041950370645,ok,strong,True,"synchronous; best positive lag +0Q, corr 1.00, n=17. Strongest absolute relation is lag +0Q, corr 1.00."
Procurement spend -> Supplier revenue,CPU,AI Chip,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,3,source leads,0.9991613679581273,28,0.9983234392199561,3,0.9991613679581273,ok,strong,True,"source leads; best positive lag +3Q, corr 1.00, n=28. Strongest absolute relation is lag +3Q, corr 1.00."
Procurement spend -> Supplier revenue,components,AI Chip,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.9991500055157219,30,0.998300733522067,2,0.9991500055157219,ok,strong,True,"source leads; best positive lag +2Q, corr 1.00, n=30. Strongest absolute relation is lag +2Q, corr 1.00."
Procurement spend -> Supplier revenue,Server Networking,AI Chip,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9990644365015792,32,0.9981297482822179,0,0.9990644365015792,ok,strong,True,"synchronous; best positive lag +0Q, corr 1.00, n=32. Strongest absolute relation is lag +0Q, corr 1.00."
Procurement spend -> Supplier revenue,components,CPU,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9982042238420553,29,0.9964116724961201,0,0.9982042238420553,ok,strong,True,"synchronous; best positive lag +0Q, corr 1.00, n=29. Strongest absolute relation is lag +0Q, corr 1.00."
Procurement spend -> Supplier revenue,components,Server EMS,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9968481116111303,30,0.9937061576226764,0,0.9968481116111303,ok,strong,True,"synchronous; best positive lag +0Q, corr 1.00, n=30. Strongest absolute relation is lag +0Q, corr 1.00."
